cycle,income_gini
0,NaN
12,0.476
24,0.5483
36,0.6183
48,0.681
60,0.7439
72,0.7978
84,0.852
96,0.9027
108,0.9468
120,0.9809
132,0.9954
144,0.9991
156,0.5071
168,NaN
180,NaN
192,NaN
204,NaN
216,NaN
228,NaN
240,NaN
252,NaN
264,NaN
276,NaN
288,NaN
300,NaN
312,NaN
324,NaN
336,NaN
348,NaN
360,NaN
372,NaN
384,NaN
396,NaN
408,NaN
420,NaN
432,NaN
444,NaN
456,NaN
468,NaN
480,NaN
492,NaN
504,NaN
516,NaN
528,NaN
540,NaN
552,NaN
564,NaN
576,NaN
588,NaN
600,NaN
612,NaN
624,NaN
636,NaN
648,NaN
660,NaN
672,NaN
684,NaN
696,NaN
708,NaN
720,NaN
732,NaN
744,NaN
756,NaN
768,NaN
780,NaN
792,NaN
804,NaN
816,NaN
828,NaN
840,NaN
852,NaN
864,NaN
876,NaN
888,NaN
900,NaN
912,NaN
924,NaN
936,NaN
948,NaN
960,NaN
972,NaN
984,NaN
996,NaN
1008,NaN
1020,NaN
1032,NaN
1044,NaN
1056,NaN
1068,NaN
1080,NaN
1092,NaN
1104,NaN
1116,NaN
1128,NaN
1140,NaN
1152,NaN
1164,NaN
1176,NaN
1188,NaN
1200,NaN
